"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Freeland, Kyle",607536,"COL","FF","4-Seam Fastball",-1.3,-11,"830",33.5,"245","0.339","0.589","0.418",11.6,10.6,12.8,"0.331","0.595","0.409",49.5
"Baz, Shane",669358,"TB","CU","Curveball",0,0,"731",26.9,"244","0.214","0.321","0.276",29.5,35.2,26.8,"0.204","0.317","0.258",43.6
"Horton, Cade",690990,"CHC","FF","4-Seam Fastball",0.8,7,"897",50.2,"242","0.263","0.373","0.318",14.7,15.7,19.6,"0.297","0.522","0.378",51.4
"Corbin, Patrick",571578,"TEX","SI","Sinker",0,0,"732",28.3,"242","0.27","0.427","0.341",12.1,19,18.9,"0.295","0.496","0.382",52.1
"Berríos, José",621244,"TOR","SI","Sinker",0.3,3,"849",32.9,"240","0.252","0.431","0.328",9.6,15,21.6,"0.302","0.543","0.39",52.5
"Anderson, Tyler",542881,"LAA","FF","4-Seam Fastball",-0.9,-8,"893",38.2,"240","0.263","0.507","0.379",15.5,12.5,11.7,"0.281","0.59","0.402",44
"Webb, Logan",657277,"SF","CH","Changeup",1.3,10,"792",24.1,"238","0.207","0.308","0.253",31.8,34,24.5,"0.233","0.331","0.264",44.5
"Brown, Ben",676962,"CHC","FF","4-Seam Fastball",-1.2,-11,"978",55.6,"237","0.315","0.526","0.406",14.8,14.3,16.6,"0.308","0.591","0.411",51.1
"Singer, Brady",663903,"CIN","SL","Slider",0.8,7,"859",30.1,"237","0.192","0.329","0.258",28.6,23.2,17.1,"0.231","0.375","0.285",34.7
"Heaney, Andrew",571760,"LAD","FF","4-Seam Fastball",-1.2,-11,"907",43.6,"233","0.275","0.545","0.393",17.4,16.3,13.1,"0.298","0.551","0.402",53
"Springs, Jeffrey",605488,"ATH","CH","Changeup",-0.3,-2,"720",25.3,"232","0.218","0.38","0.298",41.3,25.4,18.9,"0.225","0.349","0.267",23.6
"Lord, Brad",695418,"WSH","FF","4-Seam Fastball",0.1,1,"1026",48.2,"231","0.254","0.431","0.35",25,25.5,17.7,"0.263","0.432","0.35",40.1
"Kikuchi, Yusei",579328,"LAA","FF","4-Seam Fastball",-1.2,-13,"1081",34.9,"231","0.31","0.498","0.38",21.2,24.2,16,"0.29","0.494","0.359",50.3
"Skubal, Tarik",669373,"DET","FF","4-Seam Fastball",1.4,12,"841",29.5,"230","0.193","0.319","0.262",28.5,32.6,21.3,"0.215","0.416","0.306",35.3
"Kelly, Merrill",518876,"TEX","CH","Changeup",0.7,5,"752",26.5,"230","0.203","0.34","0.281",33.4,27.4,23,"0.236","0.367","0.291",36
"Crochet, Garrett",676979,"BOS","FC","Cutter",1.1,10,"875",27.8,"230","0.25","0.389","0.305",24.2,17.4,21.5,"0.258","0.403","0.308",36
"Woo, Bryan",693433,"SEA","SI","Sinker",1.2,8,"694",25.6,"229","0.258","0.369","0.304",10.8,14.8,22.5,"0.283","0.419","0.319",48.6
"Ferrer, Jose A.",678606,"WSH","SI","Sinker",0.3,2,"853",70.6,"229","0.309","0.42","0.35",15.2,13.1,14.9,"0.291","0.416","0.334",44.8
"Brown, Hunter",686613,"HOU","FF","4-Seam Fastball",1.5,17,"1125",38,"228","0.182","0.261","0.249",28.8,36.4,22.8,"0.192","0.309","0.263",40.5
"Ober, Bailey",641927,"MIN","FF","4-Seam Fastball",0,0,"840",35.7,"228","0.277","0.49","0.35",18.2,14.5,14.5,"0.284","0.562","0.378",46.1
"Kahnle, Tommy",592454,"DET","CH","Changeup",0.4,4,"886",85.6,"225","0.217","0.374","0.301",26.4,18.2,18.5,"0.257","0.434","0.334",37
"Woods Richardson, Simeon",680573,"MIN","FF","4-Seam Fastball",0.2,2,"856",45.6,"225","0.25","0.394","0.345",21.8,22.2,21.5,"0.229","0.442","0.344",46.8
"Littell, Zack",641793,"CIN","FS","Split-Finger",-0.6,-5,"762",27.3,"225","0.248","0.392","0.29",24.5,19.6,15,"0.245","0.381","0.274",35.4
"Rogers, Tyler",643511,"NYM","SI","Sinker",2.5,18,"729",74.5,"225","0.247","0.302","0.254",12.4,10.2,13.7,"0.274","0.338","0.282",36.1
"Hill, Tim",657612,"NYY","SI","Sinker",0.7,5,"737",82,"224","0.251","0.365","0.307",14.6,10.7,14.9,"0.265","0.39","0.306",47.1
"May, Dustin",669160,"BOS","SI","Sinker",-1,-7,"728",33.6,"222","0.294","0.567","0.422",10.5,9.9,21.4,"0.347","0.633","0.455",55
